project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,bounding_boxes
2010895,Training 01 2025,f0c214cb-c821-4481-b3a4-56ba00ae8cd6,RCNX0001.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/f0c214cb-c821-4481-b3a4-56ba00ae8cd6.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:05:09,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,be33c97f-4a73-4607-b6f2-151b34ed6974,RCNX0003.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/be33c97f-4a73-4607-b6f2-151b34ed6974.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:05:11,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,f2a85b94-0dd1-4741-a461-6cc0ecc3a755,RCNX0002.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/f2a85b94-0dd1-4741-a461-6cc0ecc3a755.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:05:10,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,6315bddf-c3bc-4e4a-a014-1fb1b65ec278,RCNX0005.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/6315bddf-c3bc-4e4a-a014-1fb1b65ec278.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:05:32,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,b3db4532-0e3e-4fbf-837f-97bc8fb22999,RCNX0004.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/b3db4532-0e3e-4fbf-837f-97bc8fb22999.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:05:31,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,2691761c-4129-479e-a354-d5495556591c,RCNX0006.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/2691761c-4129-479e-a354-d5495556591c.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:05:33,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,455121a7-503f-4889-a994-167c1bcaff4a,RCNX0007.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/455121a7-503f-4889-a994-167c1bcaff4a.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:09:11,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,91a22ebb-59db-4009-a509-23664572a8d8,RCNX0008.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/91a22ebb-59db-4009-a509-23664572a8d8.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:09:12,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,bf663784-a13b-45cf-961b-57f56290b34d,RCNX0009.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/bf663784-a13b-45cf-961b-57f56290b34d.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:09:13,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,e9f963c2-cd2c-4df7-873f-cc12736dd31a,RCNX0010.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/e9f963c2-cd2c-4df7-873f-cc12736dd31a.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:10:43,1,,,,,,,false,,,CC-BY-NC,
2010895,Training 01 2025,75485495-ef83-44ba-9df3-7329380ad89f,RCNX0012.JPG,gs://145625598251_2010895_489_wildlife_ecology_lab__main/deployment/2418638/prod/directUpload/75485495-ef83-44ba-9df3-7329380ad89f.JPG,1,Scott Appleby,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2024-08-30 11:10:45,1,,,,,,,false,,,CC-BY-NC,
